"Ano";"Mês";"UF do Município";"Município";"Código SH4";"Descrição SH4";"Valor US$ FOB"
"2025";"08. Agosto";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"54596172"
"2025";"07. Julho";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"45680793"
"2025";"06. Junho";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"42726078"
"2025";"02. Fevereiro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"38662385"
"2025";"01. Janeiro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"36554176"
"2025";"05. Maio";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"30613967"
"2025";"04. Abril";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"22656071"
"2025";"03. Março";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"13014584"
"2025";"07. Julho";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"12884765"
"2025";"08. Agosto";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"10151605"
"2025";"06. Junho";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"8026914"
"2025";"01. Janeiro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5786728"
"2025";"05. Maio";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5630744"
"2025";"03. Março";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5411559"
"2025";"01. Janeiro";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5138006"
"2025";"04. Abril";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"4853269"
"2025";"02. Fevereiro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"4294511"
"2025";"02. Fevereiro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"3477055"
"2025";"01. Janeiro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2444185"
"2025";"06. Junho";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2000646"
"2025";"07. Julho";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1872717"
"2025";"03. Março";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1787842"
"2025";"08. Agosto";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1712789"
"2025";"04. Abril";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1682690"
"2025";"08. Agosto";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1646750"
"2025";"07. Julho";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1546000"
"2025";"04. Abril";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1477202"
"2025";"01. Janeiro";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1221342"
"2025";"01. Janeiro";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1059100"
"2025";"05. Maio";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"877504"
"2025";"06. Junho";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"841442"
"2025";"06. Junho";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"798218"
"2025";"03. Março";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"754400"
"2025";"08. Agosto";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"676620"
"2025";"08. Agosto";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"672000"
"2025";"07. Julho";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"654444"
"2025";"04. Abril";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"563700"
"2025";"04. Abril";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"546448"
"2025";"08. Agosto";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"495026"
"2025";"01. Janeiro";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"452644"
"2025";"03. Março";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"411027"
"2025";"04. Abril";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"398644"
"2025";"06. Junho";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"382032"
"2025";"02. Fevereiro";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"379700"
"2025";"05. Maio";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"362880"
"2025";"05. Maio";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"359850"
"2025";"02. Fevereiro";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"301658"
"2025";"01. Janeiro";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"240203"
"2025";"06. Junho";"Paraná";"Apucarana - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"238400"
"2025";"07. Julho";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"236350"
"2025";"02. Fevereiro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"207450"
"2025";"04. Abril";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"198790"
"2025";"05. Maio";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"198471"
"2025";"02. Fevereiro";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"197862"
"2025";"06. Junho";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"179925"
"2025";"01. Janeiro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"156125"
"2025";"06. Junho";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"120047"
"2025";"08. Agosto";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"106863"
"2025";"03. Março";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"106136"
"2025";"06. Junho";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"99574"
"2025";"07. Julho";"Paraná";"Campo Largo - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"74340"
"2025";"08. Agosto";"Paraná";"Campo Largo - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"61950"
"2025";"06. Junho";"Paraná";"Telêmaco Borba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"59366"
"2025";"04. Abril";"Paraná";"Telêmaco Borba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"52950"
"2025";"08. Agosto";"Paraná";"Telêmaco Borba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"50760"
"2025";"06. Junho";"Paraná";"Alto Piquiri - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"45554"
"2025";"01. Janeiro";"Paraná";"Telêmaco Borba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"36385"
"2025";"07. Julho";"Paraná";"Telêmaco Borba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"29744"
"2025";"02. Fevereiro";"Paraná";"Telêmaco Borba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"24251"
"2025";"03. Março";"Paraná";"Telêmaco Borba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"13095"
"2025";"02. Fevereiro";"Paraná";"São José dos Pinhais - PR";"2814";"Amoníaco anidro ou em solução aquosa (amónia)";"5194"
"2025";"04. Abril";"Paraná";"São José dos Pinhais - PR";"2814";"Amoníaco anidro ou em solução aquosa (amónia)";"4266"
"2025";"05. Maio";"Paraná";"Cascavel - PR";"2814";"Amoníaco anidro ou em solução aquosa (amónia)";"21"
"2024";"11. Novembro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"77647342"
"2024";"10. Outubro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"77003692"
"2024";"12. Dezembro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"63719616"
"2024";"01. Janeiro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"41246264"
"2024";"09. Setembro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"37086140"
"2024";"08. Agosto";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"29086818"
"2024";"07. Julho";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"26609706"
"2024";"02. Fevereiro";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"24472680"
"2024";"06. Junho";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"21429101"
"2024";"05. Maio";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"17167840"
"2024";"04. Abril";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"16117261"
"2024";"10. Outubro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"9051449"
"2024";"12. Dezembro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"6675085"
"2024";"09. Setembro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"6655310"
"2024";"07. Julho";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"6401639"
"2024";"06. Junho";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"6333310"
"2024";"03. Março";"Paraná";"Paranaguá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"6265055"
"2024";"05. Maio";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"6105186"
"2024";"11. Novembro";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5980283"
"2024";"01. Janeiro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5927592"
"2024";"08. Agosto";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5852740"
"2024";"11. Novembro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"5478134"
"2024";"02. Fevereiro";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"4635749"
"2024";"04. Abril";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"3744537"
"2024";"03. Março";"Paraná";"Curitiba - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"3604892"
"2024";"10. Outubro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"3049718"
"2024";"11. Novembro";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2839612"
"2024";"08. Agosto";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2835286"
"2024";"11. Novembro";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2535483"
"2024";"02. Fevereiro";"Paraná";"Toledo - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2450553"
"2024";"12. Dezembro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2411293"
"2024";"09. Setembro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"2221590"
"2024";"11. Novembro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1939624"
"2024";"07. Julho";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1822384"
"2024";"01. Janeiro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1699297"
"2024";"08. Agosto";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1596043"
"2024";"01. Janeiro";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1412443"
"2024";"08. Agosto";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1411666"
"2024";"09. Setembro";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1396933"
"2024";"06. Junho";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1298474"
"2024";"12. Dezembro";"Paraná";"Maringá - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1285350"
"2024";"01. Janeiro";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1057621"
"2024";"10. Outubro";"Paraná";"Apucarana - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"1005750"
"2024";"12. Dezembro";"Paraná";"Apucarana - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"986685"
"2024";"10. Outubro";"Paraná";"Toledo - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"894050"
"2024";"07. Julho";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"889152"
"2024";"06. Junho";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"791243"
"2024";"06. Junho";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"772543"
"2024";"02. Fevereiro";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"706380"
"2024";"12. Dezembro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"703652"
"2024";"10. Outubro";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"664136"
"2024";"02. Fevereiro";"Paraná";"Mandaguari - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"627404"
"2024";"10. Outubro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"563634"
"2024";"04. Abril";"Paraná";"Cascavel - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"562320"
"2024";"07. Julho";"Paraná";"Apucarana - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"559200"
"2024";"04. Abril";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"535579"
"2024";"08. Agosto";"Paraná";"Apucarana - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"489300"
"2024";"07. Julho";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"433048"
"2024";"10. Outubro";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"431537"
"2024";"10. Outubro";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"402360"
"2024";"01. Janeiro";"Paraná";"Mandaguari - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"398488"
"2024";"01. Janeiro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"383460"
"2024";"05. Maio";"Paraná";"Foz do Iguaçu - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"342060"
"2024";"08. Agosto";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"314160"
"2024";"05. Maio";"Paraná";"Toledo - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"306781"
"2024";"09. Setembro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"268575"
"2024";"11. Novembro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"257415"
"2024";"02. Fevereiro";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"253775"
"2024";"05. Maio";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"247342"
"2024";"11. Novembro";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"238896"
"2024";"04. Abril";"Paraná";"Ponta Grossa - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"237022"
"2024";"01. Janeiro";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"229500"
"2024";"12. Dezembro";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"226542"
"2024";"01. Janeiro";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"215789"
"2024";"12. Dezembro";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"206976"
"2024";"09. Setembro";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"205128"
"2024";"04. Abril";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"196000"
"2024";"07. Julho";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"187725"
"2024";"08. Agosto";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"178382"
"2024";"05. Maio";"Paraná";"Araucária - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"176219"
"2024";"02. Fevereiro";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"151625"
"2024";"02. Fevereiro";"Paraná";"Umuarama - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"149796"
"2024";"03. Março";"Paraná";"Quatro Barras - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"146635"
"2024";"04. Abril";"Paraná";"Toledo - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"145728"
"2024";"06. Junho";"Paraná";"Toledo - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"142835"
"2024";"06. Junho";"Paraná";"Almirante Tamandaré - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"113250"
"2024";"02. Fevereiro";"Paraná";"Cambé - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"110376"
"2024";"01. Janeiro";"Paraná";"Apucarana - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"105553"
"2024";"03. Março";"Paraná";"Apucarana - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"99377"
"2024";"10. Outubro";"Paraná";"São José dos Pinhais - PR";"3102";"Adubos (fertilizantes) minerais ou químicos, azotados";"97800"
